threshold, final_accuracy, after_layer3_block5_rate, after_layer3_block5_accuracy, after_layer3_block10_rate, after_layer3_block10_accuracy, after_layer3_block15_rate, after_layer3_block15_accuracy, after_layer3_block20_rate, after_layer3_block20_accuracy, after_layer4_rate, after_layer4_accuracy, after_layer3_block5_sequential_rate, after_layer3_block5_sequential_accuracy, after_layer3_block10_sequential_rate, after_layer3_block10_sequential_accuracy, after_layer3_block15_sequential_rate, after_layer3_block15_sequential_accuracy, after_layer3_block20_sequential_rate, after_layer3_block20_sequential_accuracy, after_layer4_sequential_rate, after_layer4_sequential_accuracy, final_rate, overall_accuracy
     0.0 ,          91.39,                   100.0 ,            81.09            ,                    100.0 ,             84.84            ,                    100.0 ,             86.26            ,                    100.0 ,             84.76            ,            100.0 ,     92.99            ,                              100.0 ,                       81.09            ,                                 0.0 ,                        0.0              ,                                 0.0 ,                        0.0              ,                                 0.0 ,                        0.0              ,                         0.0 ,                0.0              ,       0.0 ,            81.09
     0.01,          91.39,                   100.0 ,            81.09            ,                    100.0 ,             84.84            ,                    100.0 ,             86.26            ,                    100.0 ,             84.76            ,            100.0 ,     92.99            ,                              100.0 ,                       81.09            ,                                 0.0 ,                        0.0              ,                                 0.0 ,                        0.0              ,                                 0.0 ,                        0.0              ,                         0.0 ,                0.0              ,       0.0 ,            81.09
     0.02,          91.39,                   100.0 ,            81.09            ,                    100.0 ,             84.84            ,                    100.0 ,             86.26            ,                    100.0 ,             84.76            ,            100.0 ,     92.99            ,                              100.0 ,                       81.09            ,                                 0.0 ,                        0.0              ,                                 0.0 ,                        0.0              ,                                 0.0 ,                        0.0              ,                         0.0 ,                0.0              ,       0.0 ,            81.09
     0.03,          91.39,                   100.0 ,            81.09            ,                    100.0 ,             84.84            ,                    100.0 ,             86.26            ,                    100.0 ,             84.76            ,            100.0 ,     92.99            ,                              100.0 ,                       81.09            ,                                 0.0 ,                        0.0              ,                                 0.0 ,                        0.0              ,                                 0.0 ,                        0.0              ,                         0.0 ,                0.0              ,       0.0 ,            81.09
     0.04,          91.39,                   100.0 ,            81.09            ,                    100.0 ,             84.84            ,                    100.0 ,             86.26            ,                    100.0 ,             84.76            ,            100.0 ,     92.99            ,                              100.0 ,                       81.09            ,                                 0.0 ,                        0.0              ,                                 0.0 ,                        0.0              ,                                 0.0 ,                        0.0              ,                         0.0 ,                0.0              ,       0.0 ,            81.09
     0.05,          91.39,                   100.0 ,            81.09            ,                    100.0 ,             84.84            ,                    100.0 ,             86.26            ,                    100.0 ,             84.76            ,            100.0 ,     92.99            ,                              100.0 ,                       81.09            ,                                 0.0 ,                        0.0              ,                                 0.0 ,                        0.0              ,                                 0.0 ,                        0.0              ,                         0.0 ,                0.0              ,       0.0 ,            81.09
     0.06,          91.39,                   100.0 ,            81.09            ,                    100.0 ,             84.84            ,                    100.0 ,             86.26            ,                    100.0 ,             84.76            ,            100.0 ,     92.99            ,                              100.0 ,                       81.09            ,                                 0.0 ,                        0.0              ,                                 0.0 ,                        0.0              ,                                 0.0 ,                        0.0              ,                         0.0 ,                0.0              ,       0.0 ,            81.09
     0.07,          91.39,                   100.0 ,            81.09            ,                    100.0 ,             84.84            ,                    100.0 ,             86.26            ,                    100.0 ,             84.76            ,            100.0 ,     92.99            ,                              100.0 ,                       81.09            ,                                 0.0 ,                        0.0              ,                                 0.0 ,                        0.0              ,                                 0.0 ,                        0.0              ,                         0.0 ,                0.0              ,       0.0 ,            81.09
     0.08,          91.39,                   100.0 ,            81.09            ,                    100.0 ,             84.84            ,                    100.0 ,             86.26            ,                    100.0 ,             84.76            ,            100.0 ,     92.99            ,                              100.0 ,                       81.09            ,                                 0.0 ,                        0.0              ,                                 0.0 ,                        0.0              ,                                 0.0 ,                        0.0              ,                         0.0 ,                0.0              ,       0.0 ,            81.09
     0.09,          91.39,                   100.0 ,            81.09            ,                    100.0 ,             84.84            ,                    100.0 ,             86.26            ,                    100.0 ,             84.76            ,            100.0 ,     92.99            ,                              100.0 ,                       81.09            ,                                 0.0 ,                        0.0              ,                                 0.0 ,                        0.0              ,                                 0.0 ,                        0.0              ,                         0.0 ,                0.0              ,       0.0 ,            81.09
